Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
2020-12-18 - Plate scFv1,Experiment,Group,,B6,Experiment,None,N/A,All Events,N/A,N/A,7136,100,71.360,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,B6,Experiment,None,,R1,FSC-A,SSC-A,6811,100,68.110,95.446,95.446,612515,16952,554658,14015,522021,11023,176371.44,8494.16,28.79,50.11,104469.92,6054.94,18.84,43.20
2020-12-18 - Plate scFv1,Experiment,Group,,B6,Experiment,None,,R2,BL1-A,,230,100,2.300,3.223,3.377,11468,N/A,7772,N/A,13103,N/A,16954.29,N/A,147.84,N/A,8939.34,N/A,115.02,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,B6,Experiment,None,,R1,BL1-A,,6811,100,68.110,95.446,95.446,548,N/A,151,N/A,-19,N/A,3721.20,N/A,678.60,N/A,100.82,N/A,66.77,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,C1,Experiment,None,N/A,All Events,N/A,N/A,5433,100,54.330,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,C1,Experiment,None,,R1,FSC-A,SSC-A,4772,100,47.720,87.834,87.834,445940,15756,456086,14463,462523,13507,163012.36,6179.68,36.55,39.22,130012.90,4628.68,28.51,32.00
2020-12-18 - Plate scFv1,Experiment,Group,,C1,Experiment,None,,R2,BL1-A,,4397,100,43.970,80.931,92.142,8772,N/A,6256,N/A,6502,N/A,9464.67,N/A,107.89,N/A,3473.73,N/A,55.53,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,C1,Experiment,None,,R1,BL1-A,,4772,100,47.720,87.834,87.834,8114,N/A,5915,N/A,6502,N/A,9360.77,N/A,115.36,N/A,3734.67,N/A,63.14,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,C2,Experiment,None,N/A,All Events,N/A,N/A,5854,100,58.540,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,C2,Experiment,None,,R1,FSC-A,SSC-A,5661,100,56.610,96.703,96.703,580392,15976,542203,13395,551603,10724,162779.35,7906.80,28.05,49.49,90631.34,5106.07,16.72,38.12
2020-12-18 - Plate scFv1,Experiment,Group,,C2,Experiment,None,,R2,BL1-A,,327,100,3.270,5.586,5.776,10368,N/A,6721,N/A,4656,N/A,11190.85,N/A,107.94,N/A,7328.49,N/A,109.04,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,C2,Experiment,None,,R1,BL1-A,,5661,100,56.610,96.703,96.703,764,N/A,159,N/A,-17,N/A,3589.21,N/A,469.51,N/A,100.82,N/A,63.41,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,C3,Experiment,None,N/A,All Events,N/A,N/A,12783,100,127.830,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,C3,Experiment,None,,R1,FSC-A,SSC-A,5810,100,58.100,45.451,45.451,469485,17225,469510,15588,468542,16297,169192.63,7738.04,36.04,44.92,137882.54,5643.52,29.37,36.20
2020-12-18 - Plate scFv1,Experiment,Group,,C3,Experiment,None,,R2,BL1-A,,5760,100,57.600,45.060,99.139,8762,N/A,7255,N/A,6778,N/A,6568.77,N/A,74.97,N/A,3116.43,N/A,42.96,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,C3,Experiment,None,,R1,BL1-A,,5810,100,58.100,45.451,45.451,8689,N/A,7221,N/A,6778,N/A,6587.10,N/A,75.81,N/A,3126.80,N/A,43.30,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,C4,Experiment,None,N/A,All Events,N/A,N/A,6336,100,63.360,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,C4,Experiment,None,,R1,FSC-A,SSC-A,6159,100,61.590,97.206,97.206,560965,15783,529514,13455,508185,10589,152245.22,7588.77,27.14,48.08,84536.37,4980.05,15.96,37.01
2020-12-18 - Plate scFv1,Experiment,Group,,C4,Experiment,None,,R2,BL1-A,,241,100,2.410,3.804,3.913,9723,N/A,6522,N/A,976,N/A,10596.10,N/A,108.98,N/A,7986.77,N/A,122.46,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,C4,Experiment,None,,R1,BL1-A,,6159,100,61.590,97.206,97.206,545,N/A,158,N/A,-18,N/A,2796.33,N/A,513.17,N/A,91.92,N/A,58.18,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,C5,Experiment,None,N/A,All Events,N/A,N/A,6017,100,60.170,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,C5,Experiment,None,,R1,FSC-A,SSC-A,5827,100,58.270,96.842,96.842,569339,15517,533978,13148,529655,11949,152878.58,7427.96,26.85,47.87,85119.03,4787.32,15.94,36.41
2020-12-18 - Plate scFv1,Experiment,Group,,C5,Experiment,None,,R2,BL1-A,,219,100,2.190,3.640,3.758,10630,N/A,6574,N/A,12659,N/A,12386.64,N/A,116.53,N/A,7884.47,N/A,119.93,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,C5,Experiment,None,,R1,BL1-A,,5827,100,58.270,96.842,96.842,563,N/A,153,N/A,-21,N/A,3116.60,N/A,554.01,N/A,93.40,N/A,61.05,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,C6,Experiment,None,N/A,All Events,N/A,N/A,6333,100,63.330,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,C6,Experiment,None,,R1,FSC-A,SSC-A,5998,100,59.980,94.710,94.710,566400,16857,527828,14159,515056,11178,177835.19,8398.50,31.40,49.82,106482.55,5853.30,20.17,41.34
2020-12-18 - Plate scFv1,Experiment,Group,,C6,Experiment,None,,R2,BL1-A,,957,100,9.570,15.111,15.955,5795,N/A,3641,N/A,3446,N/A,7703.41,N/A,132.94,N/A,3002.26,N/A,82.46,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,C6,Experiment,None,,R1,BL1-A,,5998,100,59.980,94.710,94.710,1090,N/A,184,N/A,-19,N/A,3699.31,N/A,339.46,N/A,148.26,N/A,80.58,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,D1,Experiment,None,N/A,All Events,N/A,N/A,4231,100,42.310,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,D1,Experiment,None,,R1,FSC-A,SSC-A,4033,100,40.330,95.320,95.320,604975,16706,555172,13755,529124,10726,180061.12,8485.05,29.76,50.79,101945.06,5882.96,18.36,42.77
2020-12-18 - Plate scFv1,Experiment,Group,,D1,Experiment,None,,R2,BL1-A,,211,100,2.110,4.987,5.232,11778,N/A,10264,N/A,8903,N/A,9451.85,N/A,80.25,N/A,10782.95,N/A,105.06,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,D1,Experiment,None,,R1,BL1-A,,4033,100,40.330,95.320,95.320,796,N/A,169,N/A,-16,N/A,3365.75,N/A,422.96,N/A,109.71,N/A,64.92,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,D2,Experiment,None,N/A,All Events,N/A,N/A,6155,100,61.550,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,D2,Experiment,None,,R1,FSC-A,SSC-A,4672,100,46.720,75.906,75.906,494269,16196,490489,14915,508294,15878,135529.02,6101.34,27.42,37.67,103128.17,4611.63,21.03,30.92
2020-12-18 - Plate scFv1,Experiment,Group,,D2,Experiment,None,,R2,BL1-A,,4612,100,46.120,74.931,98.716,9542,N/A,8126,N/A,7858,N/A,6975.33,N/A,73.10,N/A,3217.98,N/A,39.60,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,D2,Experiment,None,,R1,BL1-A,,4672,100,46.720,75.906,75.906,9424,N/A,8060,N/A,7858,N/A,7007.09,N/A,74.36,N/A,3246.89,N/A,40.28,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,D3,Experiment,None,N/A,All Events,N/A,N/A,5687,100,56.870,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-18 - Plate scFv1,Experiment,Group,,D3,Experiment,None,,R1,FSC-A,SSC-A,5463,100,54.630,96.061,96.061,589434,15968,549054,13418,521957,10029,165427.03,7853.60,28.07,49.18,90733.64,5114.97,16.53,38.12
