Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
2020-12-16 - Plate scFv2,Experiment,Group,,B5,Experiment,None,N/A,All Events,N/A,N/A,5116,100,51.160,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,B6,Experiment,None,N/A,All Events,N/A,N/A,4430,100,44.300,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,C1,Experiment,None,N/A,All Events,N/A,N/A,3519,100,35.190,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,C2,Experiment,None,N/A,All Events,N/A,N/A,3514,100,35.140,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,C3,Experiment,None,N/A,All Events,N/A,N/A,3962,100,39.620,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,C4,Experiment,None,N/A,All Events,N/A,N/A,5469,100,54.690,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,C5,Experiment,None,N/A,All Events,N/A,N/A,4255,100,42.550,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,C6,Experiment,None,N/A,All Events,N/A,N/A,4247,100,42.470,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,D1,Experiment,None,N/A,All Events,N/A,N/A,3359,100,33.590,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,D2,Experiment,None,N/A,All Events,N/A,N/A,4389,100,43.890,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,D3,Experiment,None,N/A,All Events,N/A,N/A,4296,100,42.960,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,D4,Experiment,None,N/A,All Events,N/A,N/A,4865,100,48.650,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,D5,Experiment,None,N/A,All Events,N/A,N/A,4228,100,42.280,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,D6,Experiment,None,N/A,All Events,N/A,N/A,4881,100,48.810,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2020-12-16 - Plate scFv2,Experiment,Group,,E1,Experiment,None,N/A,All Events,N/A,N/A,2816,100,28.160,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
